source_run,dataset,mode,crypto_mode,kem_scheme,sig_scheme,n_sequences,total_frames,verification_rows,all_verification_ok,signature_failure_count_sum,decrypt_failure_count_sum,payload_sha256_match_all,fps,mAP_50,mAP_75,mAP_50_95,precision,recall,f1,unique_recall,edge_gpu_power_w,edge_gpu_util,edge_cpu_pct,edge_ram_mb,server_gpu_power_w,server_gpu_util,server_cpu_pct,server_ram_mb,server_gpu_energy_j,net_upload_MB,pre_crypto_upload_MB,net_download_MB,pre_crypto_download_MB,crypto_expansion_ratio,net_avg_rtt_ms,net_avg_server_ms,handshake_ms_client,handshake_ms_server,handshake_rtt_ms,avg_sign_ec_ms,avg_sign_pq_ms,avg_encrypt_ms,avg_decrypt_ms,avg_verify_ec_ms,avg_verify_pq_ms,avg_server_decrypt_ms,avg_server_verify_ec_ms,avg_server_verify_pq_ms,avg_server_sign_ec_ms,avg_server_sign_pq_ms,avg_server_encrypt_ms,sign_pq_p50_ms,sign_pq_p95_ms,sign_pq_p99_ms,encrypt_p50_ms,encrypt_p95_ms,encrypt_p99_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,sign_pct,encrypt_pct,network_pct,throughput_mbps,goodput_mbps,chunk_rate_hz,bandwidth_overhead_pct
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L1,Falcon-1024,40,56340,40,True,0,0,True,13.959988188571979,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.8929936684760325,0.0040626565136322205,6.5846484536255145,798.8103809221735,47.998619095065074,7.58604227180115,0.3048381756120448,1687.1412982320471,5573.258439393891,344.6294375419617,191.9669578075409,11.298150157928466,4.468115782737732,1.7958217608057794,39.60610287196395,22.303451404288026,106.87589622248197,21.142700174823403,52.34927504789084,0.6162890776497331,2.7804190386680694,4.847872235583446,0.33465356120704703,0.5744870111045659,0.565716976454338,1.4956262138549057,0.43482860524772954,0.4719020392537672,0.08517704947321382,0.5901587686868666,0.12414402097121455,2.780034241004614,3.216264537841198,3.328398224504781,4.932513234962244,5.579135609295918,5.863477964521735,14.031624473226774,15.097129028525364,15.675990257514684,19.094564571568952,21.683287452188196,59.222147976242866,6.369778428853531,3.5152862313956112,25.270373533357947,81.29448329348489
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L1,Falcon-512,40,56340,40,True,0,0,True,14.20895435075065,0.7887680386454996,0.7158171727294926,0.5873132677927453,0.5457326158022753,0.9028867921281108,0.660493410773342,0.9955194133767812,5.8861522924385925,0.005445553749813852,6.529194449258327,818.9051956752173,47.835379032634926,7.694838241681801,0.30729285120766764,1774.453920676034,5458.492345537086,343.1592761993408,191.9669578075409,9.82807035446167,4.468127942085266,1.7879145170207764,39.41148888828822,22.38830705752667,94.34330825606594,7.807825226336718,39.87260990252253,0.6071459880525324,2.0933288189601735,4.846493368237221,0.3216535866286584,0.5801844579181157,0.45578571338435053,1.498049609971411,0.43711977303479477,0.4222475974617752,0.08684519213807665,0.3352286364107902,0.11388257607416152,2.0635747903725132,2.434460720833158,2.5364479106792714,4.878326203470351,5.61049588926835,5.912809040382854,14.052396211363327,15.131727711038536,15.712830574827914,16.257347250159505,22.360893537499575,61.38175921234091,6.349385905496128,3.5332978405802296,25.397109539806117,79.75342206119774
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L1,Falcon-padded-1024,40,56340,40,True,0,0,True,13.906178706492435,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.861184146979146,0.006553292073878679,6.465595944503612,845.2189393810434,47.93254073054432,7.604516280584052,0.31118000068306045,1727.091553456058,5569.492903712417,344.6516624450684,191.9669578075409,11.3203839302063,4.468121576309204,1.7959412571599067,40.550019089599274,23.123782178134782,106.21646326762857,20.75444762594998,51.773946078901645,0.6009138944486516,2.7452600309363264,4.795856804524428,0.3384554106254939,0.5777887997922263,0.5385619303990293,1.4963149704181278,0.43881943573873167,0.4685009339446807,0.08797706244502679,0.5992783765116136,0.1266093620541618,2.6812511903699487,3.16293462041358,3.285957034895546,4.820559576182859,5.500272619028692,5.7872895595792215,14.090431511281944,15.159164672668918,15.727680800770287,18.79794083248668,21.504697075300392,59.69736209221295,6.235643385196143,3.440954282316079,24.68921257332576,81.31778044848448
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L1,Falcon-padded-512,40,56340,40,True,0,0,True,14.022425865945456,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.846742087977215,0.0039636953748697894,6.484919263848812,869.2098296463649,46.45929487953423,7.624290081270101,0.3100449655551144,1747.0473450635654,5365.495578286953,343.18302593231203,191.9669578075409,9.851768398284912,4.468127346038818,1.788042234182674,40.27523645880451,23.138536599173925,93.44071634404827,7.394716609269381,38.92845594964456,0.6108158361819953,2.095540339040075,4.8919013267990445,0.3245311423748371,0.5835152753040781,0.43428988288169795,1.4842887706902153,0.4375091066702589,0.41627326293185785,0.08674761582468629,0.33525264339563354,0.11432319944727691,2.056474484561477,2.4258610694960225,2.520275203307392,4.90523407861474,5.652824604476336,5.951596321887337,14.10305694925897,15.16668009573354,15.78081563084107,16.08453585831426,22.413543469382425,61.50192067230332,6.2209178798021325,3.461364040119874,24.86524759529713,79.77828773308525
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L1,ML-DSA-44,40,56340,40,True,0,0,True,14.207271824251558,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.865464144608799,0.003128360258033662,6.5146717072009155,894.4291255798355,49.123034218851444,7.687764342624568,0.3076138624083321,1770.9376736520796,5609.2260802052515,347.37396545410155,191.9669578075409,14.04271936416626,4.468121838569641,1.8105830450036198,39.48300591398773,22.573886074001415,86.89477418229217,0.8728082291781902,32.59948634367902,0.6002498486219744,2.3660520606342774,4.836929143747025,0.364249430539065,0.574853961092053,0.5618656147192922,1.5069269878953435,0.43649096230291795,0.4054839112253091,0.08633566028052765,0.14429422580122966,0.14351006203715472,2.1738272400398273,3.7177790202986216,4.786072764938581,4.852610464877216,5.5640024056629045,5.850954437424661,14.112088012596917,15.150338238117234,15.723756961510208,17.514064286591363,22.066479468576453,60.41945624483221,6.490341075184459,3.5273035972200013,25.353151062004816,84.17143995951385
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L1,ML-DSA-65,40,56340,40,True,0,0,True,14.088369893479197,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.864896343368189,0.0023842775367637287,6.5026548787231295,921.3533865639972,48.27372975963978,7.653833484423798,0.3085837089283417,1792.0014856545827,5546.028445016453,349.49453763961793,191.9669578075409,16.16325178146362,4.468118524551391,1.8219884502659913,39.770899136522274,22.872045488010663,87.02499298378825,0.8461055345833302,32.16041872219648,0.5881607292103053,2.8264181656835845,4.794723340667013,0.38035572400971107,0.5639349447077592,0.6722714140285575,1.5081503886093965,0.4360057956105873,0.4183646500263795,0.08589090664699041,0.18117541575455995,0.15657387248308194,2.5299023785919417,4.821025820128852,6.3262909303593915,4.823888515966246,5.535113473597448,5.821924270276213,14.03965967510231,15.061990395655153,15.627663691968257,19.48108591113689,21.54732728964919,58.971586799213924,6.516542328193239,3.50022461006399,25.181909284815763,86.39430456670759
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L1,ML-DSA-87,40,56340,40,True,0,0,True,13.985130256077705,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.848087249566863,0.001933453423253012,6.508030280216616,945.7048167096207,48.47750450792928,7.610478557922315,0.3079304425101359,1812.9311923424023,5624.228301232973,352.646688079834,191.9669578075409,19.315405750274657,4.468121957778931,1.8389421882382595,40.028968446399794,22.92925943806904,87.24158261175035,0.8483473677188158,32.60047254443634,0.5856442778827202,3.162585557383701,4.755603805726477,0.4089802283063045,0.559055203227308,0.896202670500857,1.5281963220046026,0.4364214588917236,0.434591507542594,0.08606312600364041,0.19383616943255583,0.1777488678628161,2.84588302965858,5.344421057670843,7.00913501101604,4.780601729726186,5.467166872258531,5.754684326850111,14.146007173445124,15.384254658902245,16.128504714144178,21.206201463888068,20.914212773626605,57.879585762485306,6.58451670704992,3.4765909941156052,25.013347309697927,89.69853784125218
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L3,Falcon-1024,40,56340,40,True,0,0,True,13.948540812804993,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.851574493857596,0.00258310385668175,6.492635575826105,971.1091633226758,48.46649564800851,7.591932137117898,0.3097500937835482,1835.5936854967651,5625.834439780653,344.6293743133545,191.9669578075409,11.29811601638794,4.468124008178711,1.795821206202581,40.209633326172906,22.955297038738927,161.81303980119992,20.17783848568797,106.82950212794822,0.5992317873175235,2.7522351272241226,4.808905631696186,0.33503372616112065,0.5716693378933353,0.5643524718111702,1.493263848455331,0.43575807144617507,0.4723852045465632,0.08553691798348957,0.5906477594584951,0.12502770514935105,2.6888926629908383,3.1711919840745395,3.3016696135891834,4.819141764164669,5.505521278028027,5.8077637380192755,13.943357595698256,15.042812198087594,15.712093162069646,19.00407851201655,21.64923543549615,59.34668605248729,6.275439540680628,3.463202814626851,24.904316623155893,81.29440743352339
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L3,Falcon-512,40,56340,40,True,0,0,True,14.28734445682042,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.846694932031253,0.0031209455518107047,6.539123686258601,995.0815873385638,48.36147199644811,7.733885105715965,0.30665569128355863,1856.1413499805956,5498.663158090582,343.1592882156372,191.9669578075409,9.82804470062256,4.468126440048218,1.7879145589060346,39.041236248009966,22.264668983923208,146.9819573831046,7.799648260697722,92.62834255496273,0.5971578828121189,2.0971830765770476,4.868613013313206,0.3181522886136379,0.5735240031869061,0.4505955138885537,1.4810140673999599,0.43391065166927384,0.4186002297532899,0.08421386404116837,0.33215812110547394,0.1121340178881866,2.046643763605971,2.4314787806360982,2.5303366883308627,4.868754159542732,5.5894572944089305,5.88024344133737,13.847502787668073,14.893671409427544,15.453760323669016,16.336433277543957,22.65542169547981,61.00814502697625,6.407260498666692,3.5654904972070867,25.63757315319366,79.75340950013047
20260521_115251_cloud_baseline_ua_detrac_full_suite,ua_detrac,cloud_baseline,pqc,BIKE-L3,Falcon-padded-1024,40,56340,40,True,0,0,True,14.15519931902451,0.7887680386454994,0.7158171727294926,0.5873132677927454,0.5457326158022751,0.9028867921281105,0.6604934107733423,0.995519413376781,5.846125319414203,0.003164957818576728,6.536177457721197,1019.7448382023788,48.23521148859446,7.6598031067380745,0.3076894074111306,1875.6038174042492,5524.8008615690715,344.65166025161744,191.9669578075409,11.32037935256958,4.468121933937073,1.795941238308048,39.37831944379394,22.279083484446723,163.2139972090954,22.42097957059741,108.587211772101,0.591657281035231,2.736456784772264,4.79610719017766,0.3341187733128877,0.5697899058681132,0.5341726291010913,1.496280058621767,0.43416247541658193,0.4641369143398089,0.084331506209502,0.5932117842638476,0.12419291163100091,2.6668230479117483,3.165150301065296,3.289710196942906,4.808312651584856,5.475718454254093,5.742738087414182,13.830928414110698,14.853785076004323,15.369494105206476,18.944081879430737,21.79311191943433,59.26280620113492,6.406078162924517,3.534856289046476,25.418696681800675,81.31777356137101
